Dataset,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD
synthetic,frequency,"(0,1,2,3)",HClust,5.4455,9.5937,5.44547,9.59375,0.0,0.9998250306196416,0.9998250306196416,1.3854349226580955,0.9998250306196416,1.3854349226580955,5.445470119821089,0.0,9.593745245393347,2.6289108260338163,0.0
synthetic,frequency,"(0)|(1,2,3)",HClust,"-0.0,6.4044","-0.0,11.7504",4.80331,8.8128,2.5116913270374934,0.9998250306196416,1.331026221216558,1.3815398643327854,1.3306896964696802,1.3854349226580955,7.996543091858561,0.0,5.875200367297919,0.8556392195110321,2.5116913270374934
synthetic,frequency,"(0,1)|(2,3)",Non-HClust,"4.9798,4.5473","8.4768,8.8213",4.76358,8.64906,0.17820070077634734,0.9998250306196416,0.9997300728803223,1.3987383380191067,0.9998250306196416,1.3854349226580955,8.933392895137606,0.5937752937375667,8.649062226604457,2.2738164059334873,0.17820070077634734
synthetic,frequency,"(1)|(0,2,3)",Non-HClust,"7.9965,3.7281","14.9539,6.7586",4.79519,8.80745,2.2681997049208986,0.9998250306196416,1.2560999353108533,1.3975752070158276,1.2441137866469267,1.394729317907627,7.996543091858561,3.7280673257094428,10.856258401771338,1.0601851715436095,2.2681997049208986
synthetic,frequency,"(0)|(1)|(2,3)",Non-HClust,"-0.0,7.9965,4.5473","-0.0,14.9539,8.8213",4.2728,8.14911,2.9315488767494653,0.9998250306196416,1.3308579375694543,1.3991101659344656,1.3306896964696802,1.3854349226580955,10.969910910455116,1.5739520632225759,7.925051596688366,0.35537955650312186,2.9315488767494653
synthetic,frequency,"(0,1,2)|(3)",Non-HClust,"4.9887,4.9995","8.5281,9.9844",4.99142,8.89215,0.7617167989385494,0.9998250306196416,1.0193627963160228,1.3869817889291114,1.0185218192836736,1.3854349226580955,2.194830392452056,7.793413702386443,9.256222093371967,1.4834853991520196,0.7617167989385494
synthetic,frequency,"(1,2)|(0,3)",Non-HClust,"6.3962,3.3969","11.4718,5.9856",4.89655,8.72873,1.3086701640551195,0.9998250306196416,1.1852132791295793,1.3821318000884564,1.1800384692540977,1.381101013728144,8.9645919587633,0.8285017812834337,8.72872547495025,2.2742098177849632,1.3086701640551195
synthetic,frequency,"(0)|(1,2)|(3)",Non-HClust,"-0.0,6.3962,4.9995","-0.0,11.4718,9.9844",4.448,8.232,2.3548910592786463,0.9998250306196416,1.3308579375694543,1.382494850206683,1.3306896964696802,1.3854349226580955,12.877319467714933,0.0,7.152058519944728,0.7073575532323271,2.3548910592786463
synthetic,frequency,"(0,2)|(1,3)",Non-HClust,"2.2155,7.2172","3.9424,13.4209",4.71635,8.68163,2.2746430682080145,0.9998250306196416,1.3471097759756443,1.3987383380191067,1.3462211572117067,1.3977607872188753,8.871780952140801,0.5609278884493474,8.681634215189707,1.3104956453308823,2.2746430682080145
synthetic,frequency,"(2)|(0,1,3)",Non-HClust,"3.0,5.6548","5.9992,9.8612",4.99106,8.89568,0.5248961151118072,0.9998250306196416,1.0674807986891335,1.4532771399505886,1.037871947359135,1.3988459520895262,2.999961586001869,5.654755958844807,7.930179856950735,1.5019114552970372,0.5248961151118072
synthetic,frequency,"(0)|(2)|(1,3)",HClust,"-0.0,3.0,7.2172","-0.0,5.9992,13.4209",4.35859,8.21025,2.466820955537677,0.9998250306196416,1.4536785335290954,1.4536785335290954,1.3977607872188753,1.3977607872188753,10.969910910455116,0.0,6.473360930303364,0.3811885782941045,2.466820955537677
synthetic,frequency,"(0,1)|(2)|(3)",Non-HClust,"4.9798,3.0,4.9995","8.4768,5.9992,9.9844",4.4898,8.23431,0.8054441629852964,0.9998250306196416,1.0673725557168474,1.4530765262752563,1.0334688900027387,1.3854349226580955,4.498125729595658,8.481212840097264,8.153464157243228,1.2072844283574333,0.8054441629852964
synthetic,frequency,"(1)|(0,2)|(3)",Non-HClust,"7.9965,2.2155,4.9995","14.9539,3.9424,9.9844",4.35677,8.20574,2.3330789436056705,0.9998250306196416,1.3469374010842845,1.3985524981643997,1.3399347451779098,1.394729317907627,12.877319467714933,2.3342574944815198,9.626869482685064,0.539261566164714,2.3330789436056705
synthetic,frequency,"(1)|(2)|(0,3)",Non-HClust,"7.9965,3.0,3.3969","14.9539,5.9992,5.9856",4.44756,8.23109,2.1079604028686534,0.9998250306196416,1.2814926826767818,1.4530765262752563,1.2262340512933703,1.381101013728144,10.969910910455116,3.4234569842554645,8.979566066217394,0.855568706195879,2.1079604028686534
synthetic,frequency,(0)|(1)|(2)|(3),HClust,"-0.0,7.9965,3.0,4.9995","-0.0,14.9539,5.9992,9.9844",3.99901,7.73436,2.6309134890556223,0.9998250306196416,1.4534778090275506,1.4534778090275506,1.3854349226580955,1.3854349226580955,14.951597027597007,1.0444363268984347,7.734355702146466,0.03508978567867278,2.6309134890556223
