Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD,DaviesBouldin,Dunn,AvgCrossEntropy,AvgJSDivergence,DeltaMatchEntropy,DeltaH0,SeparationScore_final
synthetic,bzib,frequency,"(0,1,2,3)",HClust,4.8388,9.1545,4.83877,9.15447,0.0,1.995053159508969,1.995053159508969,1.9507955171233387,1.995053159508969,1.9507955171233387,4.83876811626175,0.0,9.154466055814277,0.06537072044490827,0.0,,inf,,,0.0,0.0,0.0
synthetic,bzib,frequency,"(0)|(1,2,3)",Non-HClust,"3.0,4.9712","5.9995,9.4259",4.4784,8.56929,0.898958941308873,1.995053159508969,2.038286291890211,1.98151101704524,1.985277634727818,1.9507955171233387,7.964075124009415,0.007088215556493083,7.712680139331672,0.03536108845822381,0.898958941308873,11.47797489882155,0.30635241168271543,5.113329692171146,0.48799149991722957,0.5851782203159921,0.3603715431680694,0.3603715431680694
synthetic,bzib,frequency,"(0,1)|(2,3)",Non-HClust,"2.5481,5.8108","4.7493,11.4825",4.17947,8.11588,1.544982682684373,1.995053159508969,2.005984037465278,1.980493038084661,1.9960861652795652,1.9507955171233387,8.2129850071115,0.14594633948570745,8.11588146244832,0.04686413845528295,1.544982682684373,0.5309804476295913,0.5124018648805123,5.41238347316871,0.6593024429631467,1.0385845933659574,0.6593024429631464,0.6593024429631464
synthetic,bzib,frequency,"(1)|(0,2,3)",HClust,"1.0,5.4047","2.0,10.488",4.30355,8.36602,2.1071615113422477,1.995053159508969,1.9837152283803008,1.9588274413982232,1.97467477194489,1.9508100344553012,6.401855580031858,0.0028751104615487577,6.24400214415147,0.03138148258313271,2.1071615113422477,0.1887684425946991,1.4867907045044808,4.1215423794536825,0.7331865159446103,0.7884507094832216,0.5352147655727624,0.5352147655727624
synthetic,bzib,frequency,"(0)|(1)|(2,3)",HClust,"3.0,1.0,5.8108","5.9995,2.0,11.4825",3.9054,7.74111,1.8934426108940463,1.995053159508969,2.010291332121686,1.9857739127799956,1.976968152097678,1.9507955171233387,9.798279286550603,0.012497661821445405,6.493981327939,0.021181664661417816,1.8934426108940463,0.10688519738212289,3.19875794288846,13.649858084562736,0.6786765405426901,1.4133541856034642,0.933364941456635,0.933364941456635
synthetic,bzib,frequency,"(0,1,2)|(3)",Non-HClust,"4.4056,4.9997","8.1063,9.9878",4.55411,8.57666,0.35351390704465935,1.995053159508969,2.051108711641081,2.0504669680709604,1.9724163876453105,1.9507955171233387,3.657083801419004,5.748165325298606,9.04703889830133,0.04134402275800282,0.35351390704465935,0.9555460443657952,0.09577230198483884,10.807766440235246,0.37779721377850634,0.5778058990211434,0.28465996067271426,0.28465996067271426
synthetic,bzib,frequency,"(1,2)|(0,3)",Non-HClust,"4.3976,4.5473","7.9671,8.7464",4.47243,8.35674,0.12960322554999681,1.995053159508969,2.0456347348378436,2.041604037351734,1.9697338563034428,1.9508100344553012,8.454577280857889,0.4902889247800193,8.356737715031162,0.05147273606623631,0.12960322554999681,2.6017618942856675,0.09577230198483884,13.158834891683135,0.36633501344279595,0.7977283407831148,0.3663350134427965,0.3663350134427965
synthetic,bzib,frequency,"(0)|(1,2)|(3)",Non-HClust,"3.0,4.3976,4.9997","5.9995,7.9671,9.9878",4.1987,7.98035,0.7979934079985516,1.995053159508969,2.0672349754354973,2.0649714843873084,1.96649788079967,1.9507955171233387,12.189874556112915,0.20732251272086444,7.984777838121588,0.02814017332147217,0.7979934079985516,3.818003464955472,0.09577230198483884,8.154410514994874,0.5018667665147786,1.1741145807109374,0.6400718923598214,0.6400718923598214
synthetic,bzib,frequency,"(0,2)|(1,3)",Non-HClust,"5.2185,3.8284","9.8711,6.9368",4.52344,8.40395,0.640409328108777,1.995053159508969,2.0531328320802005,2.055725029211333,1.972624180719537,1.9507084176687701,8.455344712923628,0.5915355928363315,8.403946667701218,0.05057657160308938,0.640409328108777,1.883308518165237,0.10591613395062473,13.884253542187384,0.3153279633817706,0.7505193881130587,0.3153279633817707,0.3153279633817707
synthetic,bzib,frequency,"(2)|(0,1,3)",Non-HClust,"5.9993,3.9363","11.9536,7.3354",4.45208,8.48995,0.9822932677055891,1.995053159508969,2.045682625151196,2.035105697494779,1.9991763647179048,1.9508390697674418,9.912673586062406,0.022973929720766506,9.644509644106257,0.04838478575995853,0.9822932677055891,0.6685386105325284,0.10591613395062473,22.869101172637897,0.45616079392786735,0.6645185434592005,0.38669016417018387,0.38669016417018387
synthetic,bzib,frequency,"(0)|(2)|(1,3)",Non-HClust,"3.0,5.9993,3.8284","5.9995,11.9536,6.9368",4.16403,7.95668,1.1963310053894152,1.995053159508969,2.0662898941411085,2.0644998700552066,2.0038679396723715,1.9507084176687701,12.631619673737065,0.19607680677109762,8.296634414750828,0.031371358389693314,1.1963310053894152,2.3428911772499252,0.10591613395062473,11.260990287498942,0.531823169813973,1.1977890973398013,0.6747366841709512,0.6747366841709512
