FeatureMode,k,ClusterConfig,H1_c0,H1_c1,H1_c2,H1_c3,H2_c0,H2_c1,H2_c2,H2_c3,AvgWithinEntropy,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Col,DecomposedRatio_Row,ReorderedRatio_Col,ReorderedRatio_Row,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD,PairwiseMI
entropy,1,"(0,1,2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.449754612747056,0.0,1.0160123547102333,1.594794590456749,1.0160123547102333,1.594794590456749,1.594794590456749,4.797589182418178,0.0,8.612118700202224,2.9769300985262257,0.0,0-1=0.1737|0-2=0.0019|0-3=0.0000|1-2=0.0014|1-3=0.0000|2-3=0.0000
entropy,2,"(0,1)|(2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.4519400859467977,2.953054895111516,1.0160123547102333,1.5973930545349988,1.4522324443250387,1.594794590456749,1.0429649407335173,7.685163571967126,0.03893784438545467,7.614626287667391,0.3443121238254274,2.953054895111516,0-1=0.1737|2-3=0.0000
entropy,3,"(0,1)|(2)|(3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,2.4673928578588544,2.8139091006125945,1.0160123547102333,1.5371372356123956,1.5371372356123956,1.594794590456749,1.3268582650001326,4.498211030501101,3.4138497062289312,5.227179620894505,0.06488083516003704,2.8139091006125945,0-1=0.1737
entropy,4,(0)|(1)|(2)|(3),6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.448845039309002,2.9741813152444516,1.0160123547102333,1.5369128032521076,1.5369128032521076,1.594794590456749,1.0160123547102333,14.117581619003976,0.3713961199132534,7.150878817145561,0.036269150688258915,2.9741813152444516,
frequency,1,"(0,1,2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.449754612747056,0.0,1.0160123547102333,1.594794590456749,1.0160123547102333,1.594794590456749,1.594794590456749,4.797589182418178,0.0,8.612118700202224,2.9769300985262257,0.0,0-1=0.1737|0-2=0.0019|0-3=0.0000|1-2=0.0014|1-3=0.0000|2-3=0.0000
frequency,2,"(0,1)|(2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.4519400859467977,2.953054895111516,1.0160123547102333,1.5973930545349988,1.4522324443250387,1.594794590456749,1.0429649407335173,7.685163571967126,0.03893784438545467,7.614626287667391,0.3443121238254274,2.953054895111516,0-1=0.1737|2-3=0.0000
frequency,3,"(0,1)|(2)|(3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,2.4673928578588544,2.8139091006125945,1.0160123547102333,1.5371372356123956,1.5371372356123956,1.594794590456749,1.3268582650001326,4.498211030501101,3.4138497062289312,5.227179620894505,0.06488083516003704,2.8139091006125945,0-1=0.1737
frequency,4,(0)|(1)|(2)|(3),6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.448845039309002,2.9741813152444516,1.0160123547102333,1.5369128032521076,1.5369128032521076,1.594794590456749,1.0160123547102333,14.117581619003976,0.3713961199132534,7.150878817145561,0.036269150688258915,2.9741813152444516,
all,1,"(0,1,2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.449754612747056,0.0,1.0160123547102333,1.594794590456749,1.0160123547102333,1.594794590456749,1.594794590456749,4.797589182418178,0.0,8.612118700202224,2.9769300985262257,0.0,0-1=0.1737|0-2=0.0019|0-3=0.0000|1-2=0.0014|1-3=0.0000|2-3=0.0000
all,2,"(0,1)|(2,3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.4519400859467977,2.953054895111516,1.0160123547102333,1.5973930545349988,1.4522324443250387,1.594794590456749,1.0429649407335173,7.685163571967126,0.03893784438545467,7.614626287667391,0.3443121238254274,2.953054895111516,0-1=0.1737|2-3=0.0000
all,3,"(0,1)|(2)|(3)",6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,2.4673928578588544,2.8139091006125945,1.0160123547102333,1.5371372356123956,1.5371372356123956,1.594794590456749,1.3268582650001326,4.498211030501101,3.4138497062289312,5.227179620894505,0.06488083516003704,2.8139091006125945,0-1=0.1737
all,4,(0)|(1)|(2)|(3),6.9983570356235205,6.490623362470843,0.9999973408228668,-0.0,13.741939047790684,12.861623386419614,1.9999528343719448,-0.0,3.448845039309002,2.9741813152444516,1.0160123547102333,1.5369128032521076,1.5369128032521076,1.594794590456749,1.0160123547102333,14.117581619003976,0.3713961199132534,7.150878817145561,0.036269150688258915,2.9741813152444516,
